Tipo variazione;Istat vecchio;Denominazione Comune;Istat nuovo;Denominazione Comune associata alla variazione o nuova denominazione
CD;007064;Saint-Rhémy;007064;Saint-Rhémy-en-Bosses
CD;035018;Ciano d'Enza;035018;Canossa
AQ;047021;Uzzano;047012;Pescia
CD;070071;San Polomatese;070071;San Polo Matese
CE ;092009;Cagliari;092109;Monserrato
CS;092109;Monserrato;092009;Cagliari
CD;095037;Ollastra Simaxis;095037;Ollastra
AP;002001;Ailoche;096001;
AP;002005;Andorno Micca;096002;
AP;002010;Benna;096003;
AP;002012;Biella;096004;
AP;002013;Bioglio;096005;
AP;002018;Borriana;096006;
AP;002020;Brusnengo;096007;
AP;002022;Callabiana;096008;
AP;002023;Camandona;096009;
AP;002024;Camburzano;096010;
AP;002026;Campiglia Cervo;096011;
AP;002027;Candelo;096012;
AP;002028;Caprile;096013;
AP;002034;Casapinta;096014;
AP;002036;Castelletto Cervo;096015;
AP;002037;Cavaglià;096016;
AP;002039;Cerreto Castello;096017;
AP;002040;Cerrione;096018;
AP;002044;Coggiola;096019;
AP;002046;Cossato;096020;
AP;002050;Crevacuore;096021;
AP;002051;Crosa;096022;
AP;002053;Curino;096023;
AP;002055;Donato;096024;
AP;002056;Dorzano;096025;
AP;002060;Gaglianico;096026;
AP;002063;Gifflenga;096027;
AP;002064;Graglia;096028;
AP;002069;Lessona;096029;
AP;002073;Magnano;096030;
AP;002074;Massazza;096031;
AP;002075;Masserano;096032;
AP;002076;Mezzana Mortigliengo;096033;
AP;002077;Miagliano;096034;
AP;002080;Mongrando;096035;
AP;002081;Mosso Santa Maria;096036;
AP;002083;Mottalciata;096037;
AP;002084;Muzzano;096038;
AP;002085;Netro;096039;
AP;002086;Occhieppo Inferiore;096040;
AP;002087;Occhieppo Superiore;096041;
AP;002092;Pettinengo;096042;
AP;002094;Piatto;096043;
AP;002095;Piedicavallo;096044;
AP;002098;Pistolesa;096045;
AP;002099;Pollone;096046;
AP;002100;Ponderano;096047;
AP;002101;Portula;096048;
AP;002103;Pralungo;096049;
AP;002105;Pray;096050;
AP;002106;Quaregna;096051;
AP;002109;Quittengo;096052;
AP;002117;Ronco Biellese;096053;
AP;002119;Roppolo;096054;
AP;002120;Rosazza;096055;
AP;002124;Sagliano Micca;096056;
AP;002125;Sala Biellese;096057;
AP;002129;Salussola;096058;
AP;002130;Sandigliano;096059;
AP;002132;San Paolo Cervo;096060;
AP;002136;Selve Marcone;096061;
AP;002138;Soprana;096062;
AP;002139;Sordevolo;096063;
AP;002140;Sostegno;096064;
AP;002141;Strona;096065;
AP;002143;Tavigliano;096066;
AP;002144;Ternengo;096067;
AP;002145;Tollegno;096068;
AP;002146;Torrazzo;096069;
AP;002149;Trivero;096070;
AP;002151;Valdengo;096071;
AP;002153;Vallanzengo;096072;
AP;002154;Valle Mosso;096073;
AP;002155;Valle San Nicolao;096074;
AP;002157;Veglio;096075;
AP;002159;Verrone;096076;
AP;002160;Vigliano Biellese;096077;
AP;002161;Villa del Bosco;096078;
AP;002162;Villanova Biellese;096079;
AP;002165;Viverone;096080;
AP;002167;Zimone;096081;
AP;002168;Zubiena;096082;
AP;002169;Zumaglia;096083;
AP;003003;Antrona Schieranco;103001;
AP;003004;Anzola d'Ossola;103002;
AP;003005;Arizzano;103003;
AP;003007;Arola;103004;
AP;003009;Aurano;103005;
AP;003010;Baceno;103006;
AP;003011;Bannio Anzino;103007;
AP;003013;Baveno;103008;
AP;003014;Bee;103009;
AP;003015;Belgirate;103010;
AP;003017;Beura-Cardezza;103011;
AP;003020;Bognanco;103012;
AP;003028;Brovello-Carpugnino;103013;
AP;003029;Calasca-Castiglione;103014;
AP;003031;Cambiasca;103015;
